German,Hindi
Hallo / Grüß Gott,Namaste
Auf Wiedersehen,Alvida
Bitte,Kripya
Danke,Dhanyavaad
Ja,Haan
Nein,Nahin
Entschuldigung,Maafi chahiye
Es tut mir leid,Khed hai
Was,Kya
Wo,Kahan
Wann,Kab
Wer,Kaun
Wie,Kaise
Ich,Main
Du (informal) / Sie (formal),Tum / Aap
Er / Sie (depending on context),Woh
Es,Yeh
Wir,Hum
Sie,Ve
Dies,Yeh
Das,Woh
Hier,Yahan
Dort,Vahan
Wie heißen Sie?,Aapka naam kya hai?
Ich heiße...,Mera naam hai...
Guten Morgen,Subh prabhat
Guten Tag,Din mein shubh kal
Guten Abend,Shaam ko shubh kal
Gute Nacht,Shubh raatri
Wie geht es Ihnen?,Aap kaise hain?
Mir geht es gut,Main theek hoon
"Ja, ich verstehe","Haan, main samajh gaya"
"Nein, ich verstehe nicht","Nahin, main nahi samjha"
Bitte helfen Sie,Kripya madad karein
Bitte warten,Kripya rukein
Wie spät ist es?,Samay kya hai?
Ich weiß nicht,Main nahi jaanta
Viel Glück,Shubh kamnayein
Herzlichen Glückwunsch,Badhaai ho
Bitte sprechen Sie langsamer,Kripya dheere boliye
Bitte wiederholen,Kripya dohraayein
Bitte schreiben Sie es auf,Kripya ise likhiye
Was ist das?,Yeh kya hai?
Wie viel kostet es?,Iska kimat kya hai?
Mir gefällt es,Mujhe pasand hai
Mir gefällt es nicht,Mujhe pasand nahi hai
Ich liebe dich,Main tumhe pyaar karti hoon (female speaker)
Ich liebe dich,Main tumhe pyaar karta hoon (male speaker)
Hilfe,Madad
Halt,Ruk jao
Öffnen,Kholo
Schließen,Band karo
Groß,Bada
Klein,Chhota
Heiß,Garam
Kalt,Thanda
Schön,Sundar
Hässlich,Kharab
Schnell,Tez
Langsam,Dheere
Gut,Achha
Schlecht,Bura
Richtig,Sahi
Falsch,Galat
Heute,Aaj
Morgen,Kal
Gestern,Kal
Tag,Din
Nacht,Raat
Woche,Saptaah
Monat,Mahina
Jahr,Saal
Eins,Ek
Zwei,Do
Drei,Teen
Vier,Char
Fünf,Paanch
Sechs,Cheh
Sieben,Saat
Acht,Aath
Neun,Nau
Zehn,Das
Zwanzig,Bees
Dreihundert,Teen sau
Vierzig,Chalees
Fünfzig,Pachaas
Sechzig,Saath
Siebzig,Satah
Achtzig,Assi
Neunzig,Nauvan
Hundert,Sau
Vater,Papa
Mutter,Mummy
Bruder,Bhai
Schwester,Behen
Sohn,Beta
Tochter,Beti
Freund,Dost
Essen,Khana
Wasser,Paani
Trinken,Peena
Essen,Khana
Hungrig,Bhukh
Durstig,Pyaas
Guten Morgen (greeting),Suprabhat
Tschüss,Alvida (informal)
Geld,Paise
Buch,Kitab
Stift,Kalam
Schule,School
Lehrer,Shikshak
Schüler,Vidhyarthi
Arbeit,Kaam
Zuhause,Ghar
Auto,Car
Bus,Bus
Zug,Train
Flugzeug,Viman
Krankenhaus,Aspatal
Arzt,Doctor
Krankenschwester,Nurse
